ID,TurnaroundTime,WaitingTime,ResponseTime
0,131,31,121
2,508,92,31
1,592,412,501
3,1036,416,615
5,1266,1016,1045
4,1344,1204,1233
7,1258,1148,1158
6,1760,1250,1259
8,1812,1642,1732
10,1736,1656,1736
9,2036,1686,1736
11,2122,2032,2122
12,2040,1870,1920
13,2012,1832,1911
16,2092,1962,1972
14,2456,2036,2156
15,3310,2349,2547
17,4064,3223,3422
19,4316,3985,4184
18,4369,4289,4369
TotalTime,6349
Throughput,"0,0031501024"
AvgTurnaroundTime,"2013,00"
AvgWaitTime,"1706,55"
AvgResponseTime,"1788,50"
