ID,TurnaroundTime,WaitingTime,ResponseTime
1,724,2,500
0,1716,626,634
2,2016,1686,1986
3,1986,1836,1936
5,2604,1854,2353
4,3025,2545,2573
7,3525,2885,3385
6,3719,3519,3569
9,3614,3564,3614
8,4375,3575,4075
12,4267,4177,4186
10,4447,4237,4327
11,4646,4346,4546
13,5258,4607,4696
15,5151,5101,5151
14,5561,5041,5160
16,5718,5508,5537
19,5732,5442,5641
17,6259,5718,5807
18,6532,6171,6290
TotalTime,8619
Throughput,"0,0023204548"
AvgTurnaroundTime,"4043,75"
AvgWaitTime,"3622,00"
AvgResponseTime,"3798,30"
