ID,TurnaroundTime,WaitingTime,ResponseTime
0,460,2,51
1,717,417,717
2,847,646,735
4,1428,757,1256
3,2335,1424,1623
5,2421,2110,2139
6,2557,2317,2436
8,2887,2496,2576
7,2987,2836,2866
9,3371,2771,3270
11,3618,3297,3496
10,4268,3497,3696
12,4832,4192,4312
14,5042,4791,4891
13,5270,4999,5088
16,5043,5033,5043
17,5449,5018,5138
15,5622,5421,5521
18,5457,5417,5446
19,5670,5319,5619
TotalTime,7763
Throughput,"0,0025763236"
AvgTurnaroundTime,"3514,05"
AvgWaitTime,"3138,00"
AvgResponseTime,"3295,95"
