ID,TurnaroundTime,WaitingTime,ResponseTime
2,467,457,467
0,703,1,91
1,848,458,538
3,1319,659,748
6,1293,1233,1283
4,2131,1241,1541
5,2274,2054,2143
7,2417,2147,2176
9,2627,2387,2586
8,2549,2539,2549
11,3116,2406,2605
10,3323,3093,3122
13,3179,3169,3179
12,3081,3061,3070
14,3567,3037,3156
15,3742,3532,3581
16,3954,3394,3403
18,4427,3917,4117
17,4533,4423,4523
19,4689,4289,4389
TotalTime,6857
Throughput,"0,0029167274"
AvgTurnaroundTime,"2711,95"
AvgWaitTime,"2374,85"
AvgResponseTime,"2463,35"
