ID,TurnaroundTime,WaitingTime,ResponseTime
1,303,81,201
0,634,212,281
2,1100,569,658
3,1065,1045,1055
4,1496,1056,1155
6,1738,1287,1406
5,2323,1693,2193
8,2596,2146,2235
7,3054,2493,2522
10,3688,2978,3177
9,3936,3656,3856
12,3829,3819,3829
11,4262,3762,4061
13,4848,4198,4497
14,5070,4720,4919
15,5850,4919,4968
16,5861,5661,5861
17,6117,5807,5816
19,6365,5965,5974
18,6858,6338,6537
TotalTime,8901
Throughput,"0,0022469385"
AvgTurnaroundTime,"3549,65"
AvgWaitTime,"3120,25"
AvgResponseTime,"3260,05"
