ID,TurnaroundTime,WaitingTime,ResponseTime
1,288,198,288
2,369,279,288
3,442,262,352
0,1125,886,51
7,1146,966,975
6,1218,1118,1128
9,2107,1887,1987
15,3050,2860,2950
19,3271,3091,3171
17,3324,3224,3314
18,3391,3311,3391
4,5171,4991,5171
14,4616,4506,4616
13,4836,4516,2659
5,5649,5349,611
8,5573,5183,1098
11,5459,5269,5459
10,6264,5944,1508
12,5899,5819,2449
16,5497,5377,3009
TotalTime,7366
Throughput,"0,0027151778"
AvgTurnaroundTime,"3434,75"
AvgWaitTime,"3251,80"
AvgResponseTime,"2223,75"
