ID,TurnaroundTime,WaitingTime,ResponseTime
1,100,1,91
3,243,153,243
4,757,677,707
0,967,844,954
6,711,631,711
5,715,705,715
9,1335,975,1064
11,1572,1312,1361
10,3601,3521,3601
8,3676,3476,3676
13,5923,5593,1811
2,6914,6614,312
14,5967,5767,5907
16,5977,5717,2596
18,5882,5682,2923
19,5950,5780,3322
7,7259,7149,558
12,7178,6938,1580
15,6909,6889,6909
17,6461,6231,3081
TotalTime,8439
Throughput,"0,0023699490"
AvgTurnaroundTime,"3904,85"
AvgWaitTime,"3732,75"
AvgResponseTime,"2106,10"
