ID,TurnaroundTime,WaitingTime,ResponseTime
2,1090,859,959
6,1735,1374,1493
12,3355,3144,3233
17,4664,4493,4502
19,4762,4612,4702
18,4769,4678,4768
9,6576,6325,2491
3,7400,7079,567
4,8273,7992,8272
5,8238,7857,6171
8,8343,8283,8343
10,8168,7907,2710
0,9583,9251,20
16,8238,8018,4276
1,9724,9593,11
7,9728,9537,2084
11,9310,9079,2940
13,9276,8995,3447
15,9094,8834,3617
14,9062,8942,9062
TotalTime,10675
Throughput,"0,0018735363"
AvgTurnaroundTime,"7069,40"
AvgWaitTime,"6842,60"
AvgResponseTime,"3683,40"
