ID,TurnaroundTime,WaitingTime,ResponseTime
0,509,1,501
4,78,58,67
3,318,228,318
19,18,8,18
13,737,527,134
21,141,111,141
24,252,72,162
25,257,157,26
27,79,29,79
22,891,771,891
34,72,62,72
37,76,66,76
30,915,715,231
45,204,84,94
28,2654,2314,385
36,2278,2158,2278
48,1453,1333,1453
42,2304,2053,2303
18,4916,4556,88
41,2884,2394,56
7,6803,6483,5521
44,4108,3677,320
20,6440,6200,6440
49,3716,3516,3716
47,4255,3745,88
2,8996,8516,8996
26,6736,6296,6736
17,7915,7715,7915
39,5967,5677,5967
5,10277,9877,830
38,7259,6959,7259
29,8292,7792,105
10,10647,10207,68
11,10632,10142,427
33,9250,8800,9250
35,9251,8501,6549
31,9903,9503,888
40,9329,8799,3724
23,11417,10767,4270
16,12588,11938,394
15,13144,12314,3914
32,11921,11301,2070
12,14529,13699,6823
9,15288,14648,15288
46,11956,11236,404
1,17021,16521,17021
14,16229,15729,16229
8,17266,16476,17266
43,14502,13972,14502
6,18609,17469,114
TotalTime,19318
Throughput,"0,0025882597"
AvgTurnaroundTime,"6705,64"
AvgWaitTime,"6323,44"
AvgResponseTime,"3649,34"
