ID,TurnaroundTime,WaitingTime,ResponseTime
0,179,1,121
2,336,26,36
15,828,618,84
25,153,103,153
27,121,11,121
26,533,373,241
18,2843,2743,2843
24,2603,2383,61
16,3842,3582,646
35,2019,1579,1417
40,1866,1596,49
21,3918,3508,71
13,4956,4696,123
3,6072,5912,254
42,2230,2080,2230
31,3564,3464,3564
4,7206,7066,7206
12,7041,6851,74
32,5265,5065,88
34,5393,5083,5393
29,6019,5749,5298
22,6992,6592,3645
10,8519,8209,87
45,5381,4841,5381
23,7826,7526,92
41,6365,5925,160
8,9831,9531,57
30,7921,7631,7921
19,9332,8822,5766
38,7671,7041,7671
17,10169,9649,81
33,8880,8490,8880
44,8210,7900,8210
6,12475,12145,12475
20,12117,11297,7413
11,13624,12914,783
48,10313,9763,48
14,14165,13365,5294
36,12729,11689,67
5,16255,15255,16255
7,17012,16252,17012
46,13984,13484,13984
1,19997,19257,355
37,16881,15871,14380
43,16933,16413,62
49,16883,15953,16883
9,21263,19873,21263
28,19925,18745,1009
47,18599,17549,12596
39,19912,19002,17
TotalTime,23862
Throughput,"0,0020953818"
AvgTurnaroundTime,"8743,02"
AvgWaitTime,"8269,46"
AvgResponseTime,"4358,40"
