ID,TurnaroundTime,WaitingTime,ResponseTime
6,30,20,30
11,158,78,158
13,215,64,214
12,262,151,10
17,70,60,70
18,330,139,67
20,99,49,99
25,22,2,12
33,26,6,16
32,11,1,11
31,401,141,150
34,187,87,126
36,528,358,528
42,158,48,57
41,252,82,172
49,217,117,217
23,3325,3205,3325
21,4308,3867,244
27,4219,4019,4219
35,3695,3155,116
15,5791,5450,5790
24,5188,4818,5188
2,7759,7219,704
47,3978,3548,3978
9,8213,7583,109
7,8724,8374,8724
3,9504,9104,1353
8,9266,8916,9266
19,8553,8092,71
22,8542,8032,8542
37,7364,6854,7364
1,11112,10391,372
48,6815,6515,6815
40,7864,7534,33
44,7638,7218,360
4,12193,11632,31
29,9832,9092,9832
46,8705,7905,146
26,11645,10825,207
30,12373,11293,12373
0,15702,14894,201
43,11971,11471,11971
45,12186,11416,12186
28,14986,14486,14986
10,17280,16779,17279
38,15017,13877,15017
5,18856,17555,16854
16,18154,17653,18153
14,19010,18379,19009
39,16922,16422,16922
TotalTime,20920
Throughput,"0,0023900574"
AvgTurnaroundTime,"6993,12"
AvgWaitTime,"6579,52"
AvgResponseTime,"4673,54"
