0,243,122,11
1,573,233,563
5,867,627,746
6,1343,1173,1253
3,1921,1771,1921
8,1419,1329,1339
9,1593,1443,1493
13,2067,1907,1957
11,2191,2031,2121
2,3736,3666,343
16,2419,2209,2309
19,3006,2996,3006
27,5202,5012,5112
30,5684,5624,5654
31,6182,5752,5851
33,6897,6577,6677
36,7228,7098,7218
37,7303,7273,7303
39,7695,7685,7695
41,7592,7582,7592
43,7805,7515,7524
42,8549,8219,8338
45,8582,8392,8402
46,8607,8537,8566
47,8582,8552,8582
7,12617,12367,953
17,11986,11846,2931
20,14673,14373,14352
57,11512,11302,11422
62,12158,12118,12128
64,12263,12073,12173
63,12340,12170,12180
68,12898,12648,12657
10,18942,18852,18942
66,13165,13105,13115
70,13244,13074,13124
74,13926,13616,13735
76,14664,14544,14554
77,14742,14642,14652
80,14922,14622,14701
12,21975,21785,21975
79,15201,15011,15041
29,20511,20431,20511
84,15917,15617,15696
86,15970,15840,15889
87,16646,16186,16306
91,16657,16637,16647
94,17986,17886,17976
96,18157,17917,17926
95,18104,18014,18104
99,18514,18364,18413
15,27468,27408,27468
38,25243,24883,25243
14,27523,27393,27463
22,28549,28159,2841
53,25492,25162,10362
60,25428,25218,11742
61,25465,25385,25465
67,25288,25108,25288
25,29703,29423,29703
72,25144,24984,13324
75,25502,25252,14414
4,32522,32382,32522
78,25183,25023,14957
28,30779,30419,5422
93,25212,24782,17564
98,24938,24828,24938
35,31521,31181,6285
44,30977,30587,7827
49,30744,30444,24872
51,30699,30639,30699
52,30811,30621,10037
56,30748,30568,30748
58,30529,30239,30529
59,30494,30304,11545
65,30089,29809,30089
69,30001,29941,30001
71,29721,29581,29721
81,29150,29090,29150
82,29244,28984,25115
85,29003,28763,16042
89,28800,28460,16671
92,28824,28534,17297
18,36673,36323,2405
21,36879,36549,15234
23,36848,36748,16607
26,36646,36576,4563
24,36876,36656,18460
32,36472,36222,5943
34,36510,36330,6984
40,35770,35730,7477
48,35126,34956,35105
50,35043,34743,9387
54,34729,34379,30638
55,34582,34342,10620
73,32711,32461,14043
83,31862,31832,15220
88,31302,31122,16595
90,31093,30913,24997
97,30333,30113,18123
TotalTime:40293
Throughput:0,0024818207
