ID,TurnaroundTime,WaitingTime,ResponseTime
4,1062,812,932
6,1635,1354,1453
1,3423,3242,3412
11,2505,2305,2314
10,2634,2484,2513
12,2664,2634,2664
14,2868,2758,2767
15,2905,2895,2905
18,3730,3720,3730
5,5105,5025,5105
21,3845,3675,3725
24,3915,3825,3915
23,4350,3900,3979
7,6080,5789,1676
25,4359,4269,4359
26,4355,4225,4235
27,4404,4264,4383
28,4993,4843,4872
30,4878,4828,4878
32,5172,4872,4962
31,5320,5130,5220
33,5467,5317,5347
2,8757,8406,519
42,7057,6957,7057
44,7331,7041,7130
45,7953,7723,7752
17,10842,10761,10841
49,8504,8234,8334
47,8512,8502,8512
16,11689,11439,2994
36,11953,11683,11873
0,16173,16012,16172
19,14931,14701,3158
37,14207,14027,14207
39,14228,14158,14228
41,14120,13820,6742
3,18043,17842,1114
46,13797,13387,7922
48,13695,13505,8543
8,18039,17999,18019
9,18048,17768,1942
13,18302,18082,2689
20,17774,17614,14947
22,17499,17389,12086
29,16857,16636,11863
34,16302,15952,11670
35,16252,15952,5935
38,16054,16024,16054
40,15849,15829,15849
43,15388,15048,7346
TotalTime,19917
Throughput,"0,0025104182"
AvgTurnaroundTime,"9476,50"
AvgWaitTime,"9293,14"
AvgResponseTime,"6696,88"
