1,304,2,121
3,696,685,695
4,700,599,689
9,2054,1784,1873
10,2118,2028,2118
13,2172,2092,2172
14,2401,2231,2311
19,3216,3116,3216
20,3478,3368,3468
22,3689,3679,3689
23,3887,3757,3767
24,3734,3724,3734
30,4586,4556,4586
29,4692,4482,4601
31,4682,4672,4682
34,5046,4996,5046
5,9064,8864,739
37,5941,5931,5941
40,6307,6227,6307
43,6794,6634,6663
44,6765,6665,6754
48,7973,7833,7843
7,12298,11858,10393
26,11417,11147,4217
28,11530,11370,11450
11,13350,13220,13350
42,12021,11931,12021
16,14625,14495,2672
47,11794,11414,11714
17,15211,14951,2868
21,15163,14873,3522
0,17122,16931,232
2,17345,17144,17344
36,14800,14570,11712
41,14769,14489,6328
45,14312,13992,7305
6,18673,18442,1325
8,18596,18576,18596
12,18527,18507,18527
15,19033,18803,2359
18,18884,18714,3193
27,18122,17922,11125
25,18130,18110,18130
32,17538,17168,11243
33,17361,17241,17341
35,17346,17166,11551
38,17076,16976,11662
39,17003,16853,5974
46,16229,16119,7577
49,16074,16024,7752
TotalTime:21066
Throughput:0,0023734928
AvgTurnaroundTime:10692,96
AvgWaitTime:10538,62
AvgResponseTime:6849,96
