1,320,2,81
0,213,203,213
2,315,55,154
4,355,205,325
6,1030,1000,1030
9,1239,949,1028
10,1515,1385,1465
5,4300,3950,859
17,3187,3137,3187
7,4118,4038,4118
19,3690,3420,3470
21,4223,3883,3892
8,5524,5324,1211
25,4754,4554,4674
28,4873,4773,4873
29,5165,4915,5014
33,6110,5810,5929
35,6257,6197,6227
36,6746,6616,6696
37,6957,6947,6957
39,7134,6984,7014
41,7324,7274,7324
42,7431,7291,7300
44,7532,7502,7532
47,7667,7577,7667
38,12208,11978,6744
18,15795,15735,15795
24,15621,15511,15621
26,15424,15234,4666
3,18166,17936,408
40,15282,15222,15282
45,15188,15068,7501
49,15248,15078,8414
11,19650,19410,1573
12,19905,19685,1758
13,20097,19877,2051
15,20071,19851,2386
14,20081,19751,2677
16,20127,19917,3164
20,20004,19904,3753
22,19777,19757,19777
23,19559,19389,4059
27,19171,18821,19151
30,19045,18915,5680
31,18920,18840,5887
32,18672,18652,18672
34,18522,18242,6351
43,17792,17722,17792
46,17395,17105,7761
48,17355,17105,8212
TotalTime:22250
Throughput:0,0022471910
AvgTurnaroundTime:11141,08
AvgWaitTime:10973,92
AvgResponseTime:6067,50
