ID,TurnaroundTime,WaitingTime,ResponseTime
0,321,2,51
2,344,224,344
3,543,443,543
4,615,455,535
6,672,472,481
8,1468,1287,1316
10,1544,1384,1413
11,1533,1493,1503
14,1944,1914,1944
15,2131,1930,1940
1,3700,3459,365
17,2251,2131,2251
18,2280,2220,2229
21,2833,2613,2732
9,4170,4010,4170
27,4261,3960,4009
25,4338,4238,4338
26,4267,4247,4257
28,4556,4476,4556
32,4852,4571,4660
31,5100,4980,5100
34,5271,5081,5130
5,8073,7863,650
33,5436,5316,5436
38,6335,6254,6304
43,6913,6833,6862
19,9222,8821,2312
46,7131,7051,7131
30,10954,10873,10953
35,11048,10967,11047
42,11477,11396,11476
45,11330,11130,11330
49,11454,11214,11454
24,14508,14277,11059
39,14210,13849,5889
41,14325,14015,6487
7,17610,17420,935
47,13771,13531,7196
48,13758,13557,7382
12,18183,17812,1498
13,18059,18019,18039
16,17991,17900,17990
20,17869,17548,10771
23,17805,17504,3408
22,17793,17592,3847
29,17244,16923,4311
36,16545,16314,16524
37,16230,16160,5693
40,16203,16122,6337
44,15602,15402,6779
TotalTime,20266
Throughput,"0,0024671864"
AvgTurnaroundTime,"8721,46"
AvgWaitTime,"8545,06"
AvgResponseTime,"5459,34"
