ID,TurnaroundTime,WaitingTime,ResponseTime
1,804,684,804
6,1270,1250,1260
12,2333,2303,2333
13,2358,2278,2358
16,2830,2690,2719
20,3806,3686,3806
5,5706,5456,5706
25,4538,4518,4528
9,7749,7649,1992
30,5999,5879,5909
31,6093,5973,5983
32,6834,6624,6724
36,7091,7081,7091
4,10586,10326,784
40,7553,7503,7553
15,10629,10519,2655
44,8239,8189,8239
49,8940,8820,8940
7,13779,13539,13779
24,12632,12312,4559
27,12850,12590,12850
29,12944,12694,5534
0,15888,15678,15878
33,12836,12576,12836
10,15357,15147,15096
39,13053,12733,7340
48,13603,13383,8932
21,16865,16635,16865
23,16786,16526,16726
26,16710,16570,16710
2,19200,18890,326
28,16591,16361,5372
34,16195,15935,6411
43,16211,16151,16211
46,16328,16258,8579
3,20620,20420,1016
8,20753,20613,1722
11,20439,20419,20439
14,20456,20326,20436
17,20690,20420,2812
18,20562,20302,3085
19,20545,20415,3569
22,20189,20059,4136
35,19059,18909,6879
38,18701,18571,6961
37,18664,18644,18664
41,18324,18144,16077
42,18186,17936,7830
45,18094,17934,18094
47,17848,17658,8534
TotalTime,22724
Throughput,"0,0022003168"
AvgTurnaroundTime,"13086,32"
AvgWaitTime,"12923,52"
AvgResponseTime,"8072,84"
