ID,TurnaroundTime,WaitingTime,ResponseTime
2,595,425,545
1,649,569,649
3,765,685,714
7,1776,1626,1705
10,2299,2209,2299
12,2191,2071,2191
4,3138,2848,760
15,2258,2178,2258
14,2789,2619,2699
17,2926,2876,2926
6,4407,4037,1086
20,2948,2938,2948
19,3185,2905,3024
23,3906,3696,3795
25,3888,3868,3878
26,4229,4099,4129
8,6397,6277,1631
30,5207,5117,5167
38,6902,6542,6591
13,9417,9177,2286
39,7396,7166,7216
44,8140,8030,8040
45,8101,8051,8101
46,8289,7989,8038
47,8313,8263,8313
48,8488,8348,8357
49,8427,8417,8427
5,13228,12988,13228
9,13871,13711,1816
31,11955,11845,11955
33,12017,11797,12017
37,12206,12126,12206
16,14758,14578,2434
43,12501,12311,7909
0,16860,16491,121
18,15120,14890,2886
22,14800,14600,3139
28,14669,14339,11542
27,14734,14474,14674
29,14745,14565,14745
35,14530,14140,14530
36,14389,14149,6238
42,14290,14100,7442
11,17768,17558,17768
21,17301,17061,17301
24,16932,16762,14646
32,16271,16021,16271
34,16071,15891,14407
40,15573,15403,15552
41,15365,15165,12396
TotalTime,19679
Throughput,"0,0025407795"
AvgTurnaroundTime,"9339,60"
AvgWaitTime,"9159,82"
AvgResponseTime,"7059,92"
