ID,TurnaroundTime,WaitingTime,ResponseTime
0,391,1,101
2,573,372,472
1,563,443,472
4,1160,399,697
3,1273,1153,1182
5,1314,1194,1203
6,1535,1025,1035
7,1904,1473,1672
9,2638,1877,2176
8,2683,2593,2683
10,3314,2483,2682
11,3614,3213,3222
12,4257,3567,3866
13,5078,4238,4537
14,5134,4853,4942
16,5968,5117,5316
15,6056,5836,5846
17,6755,5994,6494
18,6685,6524,6553
19,6664,6633,6663
21,7562,6662,6961
20,7934,7433,7733
22,8654,7853,8353
23,9074,8573,8623
24,9042,8992,9042
25,10015,8915,9014
26,10192,9842,9942
28,10239,10159,10239
27,10161,10111,10161
30,10504,10044,10143
29,10617,10417,10617
32,10857,10477,10776
33,11000,10829,10919
31,11347,10947,11246
34,11585,11085,11585
36,11760,11450,11460
35,11973,11743,11943
37,12123,11923,12123
38,12736,11986,12185
40,13451,12601,13100
39,13887,13417,13467
41,13732,13632,13732
42,14052,13672,13681
43,14334,14024,14034
44,14958,14308,14357
45,15205,14735,14784
46,15191,15161,15191
47,15193,15093,15173
49,15437,15057,15086
48,15893,15363,15393
51,16185,15765,15794
50,16945,16155,16234
53,17347,16847,17147
52,17556,17316,17406
54,17557,17357,17557
55,17851,17351,17551
56,18146,17796,17846
58,18897,18107,18196
57,19764,18814,19013
59,20563,19763,20062
60,21100,20310,20429
62,21629,21079,21198
61,21645,21605,21615
63,22066,21466,21555
64,22663,21983,22063
66,22605,22505,22595
65,22865,22515,22604
67,22847,22767,22847
68,23370,22800,22849
69,23693,23363,23482
70,24351,23531,23630
71,24413,24063,24363
73,24879,24359,24479
72,25490,24860,24889
74,26186,25406,25525
75,27101,26101,26601
76,27227,27097,27106
77,27351,27021,27050
78,27530,27250,27349
80,27535,27425,27435
79,27974,27474,27974
82,28206,27806,27886
83,28553,28173,28273
81,28759,28479,28528
84,28497,28447,28497
85,28710,28410,28710
86,28653,28613,28623
87,28712,28622,28632
88,29744,28544,28744
90,30302,29722,29802
91,30962,30292,30382
89,31690,30900,31399
93,32273,31493,31692
92,32435,32175,32185
94,32629,32429,32628
95,32495,32435,32465
96,32794,32484,32494
97,33438,32728,32738
98,34000,33290,33409
99,34323,33993,34022
TotalTime,44236
Throughput,"0,0022606022"
AvgTurnaroundTime,"17087,73"
AvgWaitTime,"16647,78"
AvgResponseTime,"16784,30"
