ID,TurnaroundTime,WaitingTime,ResponseTime
0,731,2,300
2,675,585,675
1,1502,572,601
3,1554,1304,1384
6,1614,1514,1614
5,1901,1551,1851
4,2051,1901,2001
7,1857,1817,1846
9,1948,1838,1918
10,2634,1824,2124
8,2876,2616,2695
11,2955,2835,2865
12,2628,2618,2628
13,2612,2582,2612
16,2556,2506,2556
14,3301,2521,3020
15,3654,3284,3403
17,3856,3596,3645
18,3931,3781,3871
19,4117,3687,3716
21,4173,4063,4143
20,4169,4009,4039
23,4211,4131,4211
22,4332,4132,4332
24,4332,4202,4252
25,4542,4182,4271
26,4685,4415,4504
28,5233,4613,4732
27,5990,5180,5189
29,6016,5916,5926
30,5955,5935,5945
31,6111,5791,5910
33,6638,6018,6317
32,7193,6633,7133
34,7667,7037,7537
35,8078,7538,7657
37,8061,7891,8011
36,8062,8012,8062
38,8767,8017,8517
39,9140,8700,8749
40,10029,9029,9529
41,11315,10015,10024
42,11766,11156,11656
43,12229,11479,11578
44,12231,12141,12231
45,13077,12217,12716
46,13755,13055,13155
47,14095,13695,13894
49,14097,13807,13856
48,14907,14037,14236
50,15131,14811,14820
51,15066,15026,15056
54,15288,14938,15027
52,16444,15284,15334
53,16777,16377,16477
55,17054,16544,16553
57,17655,17035,17124
56,18013,17503,17703
58,18846,17936,18236
59,19379,18759,18849
60,19398,19298,19398
61,19736,19206,19236
62,19843,19663,19713
63,21327,19767,20266
64,21302,21252,21302
65,21720,21170,21220
67,21732,21602,21651
66,21924,21664,21784
68,21953,21853,21953
69,22100,21770,21820
71,22199,22039,22119
70,22956,22196,22285
74,23648,22708,23207
72,23729,23639,23648
73,23925,23605,23725
75,24303,23903,23992
76,24239,24129,24159
77,24226,24096,24125
78,25070,24160,24170
79,25262,25062,25162
80,26438,25138,25637
83,26554,26234,26353
81,27015,26535,26654
82,27345,26875,26904
84,27562,27332,27362
86,27478,27448,27478
87,27874,27374,27674
85,28711,27841,27850
88,29082,28622,28721
89,29280,28950,29069
92,29335,29055,29104
90,29877,29277,29577
91,30671,29761,30260
94,31007,30657,30776
93,31173,30963,31082
95,31472,31042,31341
96,32274,31374,31673
97,32069,32059,32069
98,32282,31972,32171
99,32811,32121,32200
TotalTime,42963
Throughput,"0,0023275842"
AvgTurnaroundTime,"15103,64"
AvgWaitTime,"14676,05"
AvgResponseTime,"14817,06"
