0,19,1,11
1,282,1,30
4,1117,1016,1026
6,1473,1063,1072
3,2205,1784,438
11,2198,1958,1967
15,2431,2381,2431
2,3929,3659,96
17,2574,2564,2574
18,2967,2687,2696
20,3002,2942,2992
21,2887,2797,2887
23,3520,3380,3390
8,5229,5139,1407
27,4083,3803,3923
28,4407,4167,4257
29,4788,4368,4467
32,5322,5012,5021
34,6099,5969,5999
12,8268,8178,8268
35,6299,6029,6128
39,7125,7025,7034
40,7276,7076,7085
42,7665,7575,7665
43,7690,7590,7690
16,10639,10459,2655
47,8403,8133,8183
49,8351,8261,8351
7,13647,13457,1492
53,9093,8993,9093
55,9222,9092,9102
56,9137,9117,9127
57,9135,9105,9135
25,12607,12527,12607
60,9582,9492,9582
61,9546,9516,9546
63,9560,9460,9550
64,9514,9454,9464
62,9554,9504,9554
65,9459,9449,9459
69,10090,10080,10090
9,16077,15927,1644
72,10929,10729,10778
74,11099,10839,10938
75,10864,10754,10854
78,11098,10828,10837
10,18006,17816,6613
77,11447,11227,11237
80,11570,11390,11440
82,11859,11799,11849
83,12136,12046,12136
84,12210,12110,12210
88,12802,12792,12802
92,13492,13232,13312
94,13460,13410,13460
93,13697,13437,13447
13,21806,21596,21806
96,13797,13507,13597
99,13800,13740,13750
97,13939,13799,13849
98,13867,13857,13867
48,20397,20317,20397
50,20353,20053,20273
51,20563,20333,20563
54,20470,20300,9067
22,23540,23170,3032
58,20062,19922,9152
26,23861,23551,3674
31,24727,24517,4802
81,19745,19565,19745
86,19560,19480,19560
30,25179,24849,17671
89,19567,19277,12801
38,25264,25084,6192
37,25312,24942,6571
5,28656,28496,767
45,25205,24995,7618
44,25212,25052,25212
67,23803,23643,9436
70,24113,23843,10398
76,23600,23440,23600
90,22793,22423,12449
91,22778,22558,22778
14,30778,30658,2380
19,30558,30428,30558
24,30400,30360,3498
33,30666,30356,5730
36,30223,30103,6942
41,29897,29697,29897
46,29542,29472,7895
52,28926,28826,8592
59,28198,28108,9329
68,27383,27113,9548
66,27379,27169,9895
71,27186,27136,10102
73,27009,26869,27009
79,26245,26035,11568
85,25762,25642,11948
87,25522,25372,25522
95,24622,24602,24622
TotalTime:34393
Throughput:0,0029075684
AvgTurnaroundTime:15134,05
AvgWaitTime:14968,54
AvgResponseTime:9887,63
