ID,TurnaroundTime,WaitingTime,ResponseTime
2,3625,3415,455
9,3003,2883,2892
11,3039,2989,3039
10,3110,2950,2980
0,5687,5358,101
19,4993,4763,4882
23,5002,4812,4902
22,5847,5747,5847
25,6197,5867,5987
26,6260,5970,6060
29,6786,6686,6786
31,7439,7219,7318
32,7588,7488,7588
35,7457,7426,7456
34,7555,7525,7555
40,8620,8330,8450
42,9053,8953,8963
51,10464,10444,10454
49,10627,10436,10486
52,11103,10933,11013
59,12563,12422,12451
61,12749,12629,12749
63,13189,12998,13098
69,13976,13616,13705
68,14172,13972,14072
67,14277,14127,14227
71,14283,14233,14283
74,15125,14985,14995
76,15302,15202,15212
77,15378,15218,15247
79,15796,15776,15785
7,24891,24491,1509
85,17887,17377,17476
91,19267,18787,18876
95,19612,19582,19612
93,19874,19864,19874
97,19662,19652,19662
99,20033,19913,19922
8,30032,29682,2590
45,27597,27327,9300
13,31312,31112,3231
48,28041,27761,10225
14,31581,31401,31440
50,28041,27760,27960
56,28407,28297,28407
57,28447,28036,28366
17,32691,32531,4069
58,28455,28375,28455
62,28566,28306,28566
20,33278,33188,33278
72,28337,28146,14301
82,28674,28353,16384
27,35593,35443,6160
94,29363,29133,19731
28,35935,35525,6401
96,29236,28996,19785
30,36213,35883,6880
33,36205,36145,36205
37,35968,35698,7607
1,39628,39458,548
41,35822,35541,8533
43,35818,35577,35817
44,35843,35703,35843
47,35898,35747,9992
3,40326,40196,40306
54,35387,35157,11126
53,35370,35310,35370
55,35477,35146,11566
66,34983,34842,34982
65,34986,34745,34985
4,41020,40700,1108
73,34507,34237,14537
5,43061,42691,1968
98,33888,33608,20086
6,43136,43026,43136
12,43134,43114,43134
15,43054,42844,3747
16,43030,43010,43030
18,42750,42329,4093
21,42721,42421,42721
24,42922,42742,20789
36,42916,42876,42895
38,42663,42643,42663
39,42567,42227,8072
46,41949,41829,27637
60,40556,40536,40556
64,40214,40163,13066
70,39523,39373,14081
75,39129,38899,14750
78,38851,38491,15395
80,38503,38223,38503
81,38511,38301,28487
83,38455,38135,16773
84,38298,38208,17048
86,38109,37889,17169
87,37922,37792,28700
88,37841,37591,28798
90,37767,37697,37767
89,37770,37500,18493
92,37632,37382,34343
TotalTime,46981
Throughput,"0,0021285200"
AvgTurnaroundTime,"26854,00"
AvgWaitTime,"26660,35"
AvgResponseTime,"17479,23"
