ID,TurnaroundTime,WaitingTime,ResponseTime
4,1533,1403,1523
7,2009,1779,1879
6,2061,2041,2051
9,2153,2013,2092
8,2581,2561,2571
3,5253,5143,1220
17,4453,4443,4453
19,4748,4628,4748
21,5078,4828,4837
24,5795,5605,5685
34,8507,8136,8226
36,8729,8509,8608
40,9344,9294,9344
42,9272,9262,9272
51,11443,11323,11413
54,12075,11934,11983
55,12216,12026,12075
56,12109,11989,12109
59,12170,12060,12159
58,12758,12668,12758
61,13139,12929,13019
18,17601,17291,4364
63,13296,13056,13066
66,13506,13336,13386
20,19225,19015,19225
71,15012,14882,14932
23,21191,20850,5035
77,16011,15891,16011
76,16235,15935,16024
79,16286,16136,16166
78,16309,16189,16309
82,16947,16867,16897
84,16904,16894,16904
83,16967,16847,16967
25,22946,22686,22946
85,16943,16913,16943
86,17030,16810,16839
26,23136,22765,6027
88,17042,16942,17042
91,17486,17346,17436
92,17942,17932,17942
94,18293,18203,18232
95,18294,18174,18294
96,18634,18234,18263
28,25398,25217,6605
98,18852,18842,18852
99,19071,18691,18780
31,26368,26248,26368
12,29350,29140,2547
11,29317,29107,2845
44,26326,26235,9209
45,26495,26104,9809
46,26372,26031,10047
48,26471,26150,10678
50,26588,26507,26587
52,26604,26273,11523
57,26396,26056,12209
60,26528,26318,12492
15,30817,30677,4275
1,32560,32271,91
64,26279,26059,13506
68,26177,25817,13654
70,26177,25977,26177
69,26257,25967,14507
74,26386,26076,26306
22,31612,31362,5472
89,25946,25726,17185
0,35051,34810,35050
93,26014,25764,26014
27,32481,32240,24341
32,32893,32663,32893
35,32897,32777,7942
37,32773,32593,32773
41,32528,32448,32528
43,32399,32069,32399
2,36906,36676,13154
49,32175,31874,10989
62,31435,31235,12788
65,31112,31052,31112
67,30966,30545,14022
5,37234,36974,1558
73,30624,30364,15295
10,38609,38428,38468
13,38479,38139,3146
14,38342,37941,3450
16,38391,38121,38391
29,37920,37760,37920
30,37992,37681,6860
33,37838,37738,37838
38,37323,37103,8799
39,37220,37009,8906
47,36352,36142,10455
53,35904,35804,26681
72,34020,33780,14972
75,33665,33495,33665
81,33248,33138,33227
80,33206,32976,16684
87,32432,32282,32432
90,32271,32011,17585
97,31580,31470,31580
TotalTime,41453
Throughput,"0,0024123706"
AvgTurnaroundTime,"23052,89"
AvgWaitTime,"22857,21"
AvgResponseTime,"15309,16"
