ID,TurnaroundTime,WaitingTime,ResponseTime
0,23,1,11
1,492,282,402
4,654,414,514
11,2047,2017,2047
19,4219,4038,4048
18,4228,4218,4228
23,5082,4661,4750
22,5175,5074,5164
26,5451,5170,5270
25,5519,5389,5418
7,7466,7186,1649
28,5619,5418,5447
27,5606,5596,5606
9,8472,8191,1752
31,6568,6277,6376
32,6646,6565,6645
34,6583,6573,6583
37,7312,7282,7312
36,7468,7258,7357
38,7460,7410,7460
5,11351,11231,10488
13,10938,10757,10937
43,8708,8438,8528
44,8755,8705,8714
2,13439,13419,13439
47,9553,9183,9272
48,9625,9534,9543
51,10055,9905,10025
6,16297,16076,923
55,11662,11362,11412
61,12691,12501,12600
62,13315,13285,13315
65,13787,13557,13566
67,14348,14008,14097
68,14317,14297,14307
70,14670,14440,14449
75,15007,14907,15007
79,15543,15443,15543
80,15598,15448,15537
81,15576,15536,15566
83,15903,15813,15903
88,16897,16847,16876
90,16947,16827,16947
92,17676,17536,17626
95,18606,18506,18516
97,18680,18490,18590
33,25991,25741,6639
3,29214,29144,83
39,25940,25590,7490
41,26031,25721,7882
14,28851,28711,28851
45,25904,25734,9029
15,29191,28920,28949
52,25937,25677,25937
56,26239,26079,26158
20,31158,30987,4385
21,31208,31088,31208
71,26317,26227,26317
73,26369,26279,26369
74,26404,26234,14854
77,26331,26231,14842
99,27444,27304,27444
40,33933,33873,33933
50,33300,33130,10172
53,33181,32871,10635
57,33111,32961,11618
63,33348,33128,33348
8,38852,38471,1133
66,33130,33040,13792
69,32869,32649,14293
72,32568,32348,14675
76,32281,32181,15019
78,32312,32002,15131
82,31917,31687,15398
84,32044,31894,16327
91,32334,32244,17459
96,32510,32290,32510
10,41103,40952,8800
12,41054,40923,2364
17,41065,40874,41043
16,41122,40911,41101
24,40836,40716,5015
30,40720,40430,32220
29,41037,40936,41016
35,41021,40751,6995
42,40456,40146,8315
46,40036,39886,8758
49,39722,39442,39722
54,39141,38991,39141
58,38739,38589,11801
60,38688,38248,12071
59,38645,38395,38645
64,38164,37834,13300
85,36314,36144,15553
86,36241,35961,15991
87,35957,35747,31966
89,35795,35535,35774
93,35473,35223,27331
94,35406,35146,18063
98,34964,34624,18744
TotalTime,45006
Throughput,"0,0022219260"
AvgTurnaroundTime,"22899,52"
AvgWaitTime,"22719,11"
AvgResponseTime,"14853,74"
