1,589,1,81
8,30,10,20
7,116,76,116
9,156,66,106
2,1006,916,1006
16,13,3,13
14,533,443,533
15,443,293,443
21,91,31,91
12,975,775,975
5,2103,1913,2103
6,2162,2072,2162
27,130,80,130
34,139,59,139
35,124,44,124
11,2624,2394,81
38,301,181,71
36,1043,693,621
46,77,67,77
51,457,307,457
18,3736,3526,1558
58,56,26,56
56,190,80,18
57,270,170,19
61,139,89,139
29,4022,3742,4022
81,97,87,97
80,203,43,203
77,789,428,205
87,426,276,75
78,1751,1491,24
97,195,115,195
98,185,5,15
76,3076,2836,3076
31,7805,7575,7805
72,3724,3594,3724
37,7281,7121,74
19,9492,9182,9492
33,8250,8130,8250
3,11481,11251,646
23,9933,9783,9933
92,3260,2990,3260
96,3241,3111,3241
55,7605,7194,321
94,3896,3596,77
66,6894,6683,102
32,10858,10648,53
70,7292,6882,172
71,7376,7006,7376
42,11487,11277,24
43,11370,10730,117
89,7562,7362,7562
86,8221,7851,8221
54,13132,12702,110
68,12253,11943,12253
82,11309,10789,2979
24,17388,17028,103
95,11768,11448,22
44,17618,17118,17618
75,14719,14299,2844
62,17050,16750,17050
88,15032,14672,60
90,15294,14694,8088
49,20765,20465,20765
84,17612,16882,17612
39,22422,22042,238
93,17239,16309,67
10,26143,25633,1502
28,24604,23854,114
0,27543,26853,640
69,21465,20555,13759
64,22716,21815,22714
45,24854,24344,91
25,27400,26720,27400
50,25608,24408,17703
40,26891,25811,46
52,26222,25721,26221
79,24152,23412,24152
67,25722,25172,25722
30,30004,29404,30004
47,28776,27946,713
48,29206,28396,29206
73,27167,26187,83
13,33661,32741,16250
59,29557,28936,7119
17,34371,33721,61
26,33945,33445,33945
63,30712,30062,394
41,33501,32801,33501
22,35707,35197,35707
65,32132,31482,62
53,33644,32344,14833
91,30424,29224,13815
83,32062,30732,3540
20,38991,38151,9729
60,35520,34669,35519
4,41596,40676,17982
85,33962,33022,33962
99,33104,31874,278
74,36018,35118,20
TotalTime:43640
Throughput:0,0022914757
AvgTurnaroundTime:13962,56
AvgWaitTime:13528,71
AvgResponseTime:6660,97
