ID,TurnaroundTime,WaitingTime,ResponseTime
7,10,0,10
4,473,322,69
1,714,346,201
10,193,103,193
13,167,37,76
8,852,671,157
17,28,18,28
18,323,123,323
15,940,840,940
26,39,9,39
27,189,69,79
29,183,13,22
32,70,30,39
31,256,146,35
33,185,65,185
36,69,29,38
38,76,66,76
47,193,53,193
48,446,306,446
46,765,665,92
57,73,63,73
60,115,25,115
65,67,17,26
79,97,67,97
89,71,51,61
87,548,208,428
96,119,89,119
83,1954,1734,1352
88,1371,1241,85
63,4451,4241,4451
74,3523,3343,60
61,4894,4604,307
50,6121,5781,139
6,11120,10979,64
95,2625,2455,2625
5,11852,11681,105
58,6881,6661,6881
3,12735,12434,12734
56,7453,7143,210
30,10473,10223,10473
12,12860,12629,12859
42,11138,10938,11138
76,7940,7370,142
19,14146,13666,12
82,8488,8068,1235
91,8023,7793,68
49,12258,11968,619
90,8479,8279,8479
53,13395,13185,13395
55,13356,13076,13356
0,19475,18914,205
16,18203,17673,18203
59,14143,13573,1027
64,14106,13756,67
69,13805,13505,13805
77,13531,13131,56
40,17325,16795,17325
75,15550,14730,766
80,16531,15731,235
84,16666,15996,3412
23,22861,22511,92
37,22053,21233,9540
14,25562,25062,25562
99,17491,16811,62
97,18211,17641,90
94,19064,18184,985
35,25291,24311,337
9,28428,27738,622
34,26365,25725,139
78,22650,21650,8038
43,26472,25692,259
11,30383,29433,134
98,22110,21420,22110
20,30269,29489,576
66,26793,26293,26793
62,27766,27186,27766
70,27299,26529,4038
25,32447,31567,384
71,28187,27357,28187
41,31773,31243,47
92,27831,27241,84
93,28063,27243,9252
67,31662,30922,65
44,34571,33371,1489
81,31675,30975,31675
68,33730,32620,41
45,36364,35774,528
86,32864,31964,8248
21,39900,39200,171
22,40252,39132,40252
51,37711,36011,12396
72,36256,35636,67
28,41042,40122,136
52,39610,38530,32607
54,39880,38790,64
39,41894,40724,303
73,39008,37858,70
85,38442,37262,17132
2,47060,46009,177
24,45643,45143,45643
TotalTime,48055
Throughput,"0,0020809489"
AvgTurnaroundTime,"16170,65"
AvgWaitTime,"15693,29"
AvgResponseTime,"5162,11"
