ID,TurnaroundTime,WaitingTime,ResponseTime
2,158,58,158
4,282,101,140
6,45,35,45
9,79,49,79
17,202,112,202
28,87,77,87
30,133,53,133
24,844,614,844
37,36,6,36
31,468,318,87
38,318,38,117
44,162,92,91
45,374,264,374
49,72,42,72
51,106,56,106
53,104,64,73
55,200,90,119
54,223,113,12
56,136,106,136
62,56,6,56
61,397,177,136
68,120,10,120
69,127,77,127
67,610,280,57
79,432,202,211
70,2173,2043,2173
66,2616,2446,95
93,53,3,53
94,158,28,158
98,409,149,308
57,4860,4640,493
71,3429,3059,67
78,3008,2878,38
87,2599,2249,51
90,2439,2319,2439
47,7646,7416,120
43,8393,8093,8393
26,10398,9968,31
39,9237,8967,8154
64,9153,8723,9153
76,8341,8051,92
36,12685,12485,12685
33,13196,12916,13196
13,15897,15697,15897
19,15569,15369,15569
21,16110,15760,284
0,18408,17917,181
96,8991,8551,127
92,9726,9306,9726
99,9679,9359,65
88,10806,10606,10806
83,11728,11418,11728
32,17151,16841,17151
15,19218,18688,347
23,18997,18567,87
58,16698,16058,245
63,16785,16185,2493
34,19846,19266,91
65,17174,16784,243
75,16370,15930,93
73,16760,15940,82
8,23775,23045,23775
7,24583,24252,24582
74,18311,17681,1126
77,18469,18119,61
91,17402,16722,17402
60,20792,20412,20792
27,24465,23555,12354
89,18988,18478,9280
95,18877,18457,74
86,20105,19465,4250
12,27643,27333,204
46,25597,24377,143
10,29861,29041,29861
11,30056,28866,105
41,27633,26863,8195
20,30152,29522,367
52,27552,26502,299
18,31620,31120,31620
97,23998,23088,3481
35,30817,30267,106
50,29744,29244,29744
59,29371,27921,29371
42,31731,30961,222
85,27667,27167,27667
84,28319,27209,10608
3,36921,36121,36921
82,29656,29116,29656
25,35811,34871,425
40,34657,33897,10139
72,32584,31904,17
29,37431,36131,36430
5,40289,39509,121
22,39008,37778,39008
14,40417,39397,735
48,37353,36633,105
16,41070,40450,41070
1,43220,42612,50
80,35892,35362,35892
81,36104,35094,9088
TotalTime,44450
Throughput,"0,0022497188"
AvgTurnaroundTime,"15404,18"
AvgWaitTime,"14962,57"
AvgResponseTime,"6718,78"
