ID,TurnaroundTime,WaitingTime,ResponseTime
6,129,79,129
7,238,148,238
4,748,668,748
11,173,83,52
12,100,20,100
20,51,41,51
21,63,53,63
9,1837,1727,1837
28,182,72,101
30,80,20,29
19,2319,2149,129
41,52,32,42
45,175,95,175
46,291,91,291
50,55,25,55
52,287,187,287
55,285,195,285
58,197,17,107
62,143,43,52
64,117,87,117
63,281,91,281
68,16,6,16
69,643,423,643
77,162,102,72
86,85,75,85
84,445,355,445
88,24,14,24
97,130,70,100
93,1004,873,100
75,3008,2828,97
54,5577,5457,5577
3,11575,11245,176
94,2675,2504,2674
39,8307,8097,8307
42,8977,8737,598
92,4094,3783,94
0,13601,12943,501
90,5120,4850,77
96,4442,4191,1194
51,9076,8836,78
27,11938,11648,11938
49,9964,9644,64
13,14008,13698,70
32,13151,12741,201
89,7778,7317,7777
35,13205,12715,56
72,9849,9459,829
2,17618,17158,382
5,17526,17186,1689
23,16066,15856,39
76,11489,11159,11489
85,10675,10094,10674
80,11706,11175,11504
43,15861,15341,9453
98,10942,10451,10941
25,18328,17898,12521
48,17197,16577,137
16,20719,20379,65
40,18767,18057,154
56,17539,16989,17539
53,18155,17675,18155
10,22560,22050,565
59,18078,17338,5462
71,17524,17064,264
87,16325,15805,191
65,18871,18481,18871
31,22703,22193,12693
67,19229,18699,4872
33,23049,22689,100
14,25216,24856,128
66,20724,20124,4565
37,23805,22505,20503
83,19905,19494,19904
34,25034,24724,44
99,18832,18091,98
74,22342,21662,2819
79,22121,21451,22121
15,29197,28187,57
26,28621,27741,19615
36,28044,27534,28044
60,26083,24953,15176
38,28872,28172,8272
61,27580,26280,27079
22,32071,31241,15658
95,25308,24708,983
1,34937,34087,418
70,28597,27777,19893
44,31917,31267,137
17,35514,34664,61
82,29342,28422,29342
57,32487,31727,42
8,37818,37038,2442
29,36257,35587,36257
91,30502,29911,492
78,32375,31745,69
81,32433,31593,32433
24,38628,37918,38628
47,36840,36150,663
18,40325,39525,40325
73,35348,34098,35348
TotalTime,42822
Throughput,"0,0023352482"
AvgTurnaroundTime,"14646,59"
AvgWaitTime,"14220,80"
AvgResponseTime,"6163,38"
