ID,TurnaroundTime,WaitingTime,ResponseTime
2,263,173,263
0,640,192,201
9,220,120,39
14,144,84,43
23,312,192,312
12,1899,1549,1899
32,48,38,48
33,46,36,46
35,60,50,60
40,236,156,236
39,499,269,138
43,95,35,95
38,880,780,880
47,36,26,36
46,488,268,66
50,295,125,84
49,434,354,434
56,93,3,93
52,658,558,658
60,85,55,85
63,298,148,57
66,59,29,59
64,585,405,585
70,1280,990,75
86,1370,1080,236
71,3623,3303,190
83,2566,2296,67
93,1904,1513,77
65,4866,4696,58
34,8172,7882,61
97,1930,1779,44
84,3723,3473,263
77,4510,4050,4270
94,3758,3508,1955
91,4046,3926,4046
96,3800,3650,3800
58,7666,7276,122
22,11621,11261,883
98,3900,3560,1255
59,7939,7789,64
53,8862,8652,84
11,13078,12868,13078
75,6840,6460,222
78,6911,6711,6911
74,7596,7326,16
29,12147,11837,77
79,7646,7396,77
57,10242,10042,10242
88,7533,7083,7533
18,14680,14060,14680
89,8297,7576,3970
48,12560,12140,368
19,15987,15667,15987
80,10003,9683,10003
62,12570,12320,12570
61,14365,13995,14365
69,13997,13577,79
4,20796,20406,136
25,19303,18893,19303
10,21217,20817,21217
5,22139,21659,450
31,19768,19378,273
17,22118,21618,22118
76,16735,16005,16735
16,23244,22474,88
73,18053,17583,444
85,17072,16322,17072
6,25258,24478,85
41,22007,21627,52
8,25529,25179,25529
67,20482,20062,48
51,22136,21756,22136
99,17833,17362,642
1,27917,27607,27917
13,27293,26533,2374
36,25945,25305,35
26,27423,26923,27423
72,23244,22594,41
82,22683,21643,24
68,24723,23923,13115
54,26471,25341,11159
7,32386,31296,18978
92,24216,23636,24216
81,25956,25296,114
55,29006,28486,63
21,32794,31774,32794
30,32839,32139,32839
95,27028,26187,291
20,34904,34394,64
27,34772,34252,34772
90,29046,27876,15739
45,34073,33573,34073
15,37393,36813,150
3,39048,37748,39048
44,35624,35014,305
42,36257,35067,22550
87,32152,31202,111
28,38816,37996,19305
24,39651,39121,39651
37,38853,37693,239
TotalTime,42635
Throughput,"0,0023454908"
AvgTurnaroundTime,"14425,64"
AvgWaitTime,"14001,21"
AvgResponseTime,"6778,63"
