ID,TurnaroundTime,WaitingTime,ResponseTime
0,113,1,11
1,251,1,51
2,345,145,154
4,821,201,700
3,931,790,799
5,1610,690,809
6,1799,1599,1648
8,2325,1744,1943
7,3202,2261,2760
9,3764,2953,3152
11,4666,3716,4215
10,5041,4640,4689
13,4886,4836,4886
12,5474,4823,4943
14,5752,5442,5451
15,6361,5710,5829
16,6227,6136,6146
18,6737,6066,6155
17,7536,6726,6926
19,7585,7535,7585
20,7969,7438,7468
23,8410,7730,8229
21,8908,8387,8686
22,8847,8837,8847
24,8973,8622,8741
25,9737,8946,9035
26,9903,9662,9691
27,10152,9722,9821
28,10256,10055,10255
29,10376,10125,10214
31,10362,10352,10362
30,10684,10274,10283
34,10653,10563,10653
33,10876,10625,10635
32,11052,10822,11021
35,12324,10924,11423
36,13831,12151,12230
37,14422,13802,14301
39,14824,14294,14593
40,15598,14738,14747
38,16154,15534,15733
41,16087,15967,16087
42,16633,16043,16542
43,17296,16556,16585
44,18093,17243,17742
46,18093,17863,17982
45,18492,17992,18492
47,18696,18396,18696
49,19195,18685,18884
48,19225,19025,19225
TotalTime,24298
Throughput,"0,0020577825"
AvgTurnaroundTime,"9430,94"
AvgWaitTime,"8947,76"
AvgResponseTime,"9121,10"
