ID,TurnaroundTime,WaitingTime,ResponseTime
0,31,1,11
1,501,1,301
2,609,459,468
3,779,559,659
4,1057,757,1057
6,1001,871,991
5,1151,841,1141
7,1757,1097,1216
8,2269,1739,1769
9,2464,1983,2183
10,2480,2380,2480
12,2811,2450,2529
13,2960,2729,2808
11,3119,2939,3019
14,2867,2857,2867
15,3864,2773,2782
16,4674,3773,3972
18,5368,4567,5067
17,5881,5300,5799
19,5835,5745,5835
20,6146,5825,5914
21,5964,5903,5953
22,6044,5964,5993
23,6129,5849,5929
24,6411,6020,6319
25,6442,6341,6431
27,6609,6438,6557
26,6730,6559,6678
28,7079,6659,6738
30,6970,6880,6960
29,7258,6947,6957
31,7672,7191,7221
33,8190,7539,7548
32,9149,8129,8328
34,8970,8940,8970
35,9374,8783,8812
36,10535,9285,9484
37,10676,10526,10535
38,10976,10675,10975
39,11431,10901,11200
40,11912,11312,11401
42,12568,11698,11817
41,12653,12563,12643
43,12711,12631,12711
44,12906,12606,12616
45,12632,12612,12621
46,12642,12631,12641
47,12610,12560,12570
48,13092,12572,12771
49,13105,12765,12775
TotalTime,18257
Throughput,"0,0027386756"
AvgTurnaroundTime,"6741,28"
AvgWaitTime,"6382,50"
AvgResponseTime,"6500,44"
